id;lastname;firstname;position;email;phone;mobile
1000;Jehu;Eadie;Geschäftsführung;jehu@xycorp.xyz;0123/456781;0199/123456781
1001;Kermit;Joy;Geschäftsführung;kermit@xycorp.xyz;0123/456782;0199/123456782
1002;Ackerley;Karlee;Geschäftsführung;ackerley@xycorp.xyz;0123/456783;0199/123456783
1003;Buttaro;Madeleine;Bereichsleitung;buttaro@xycorp.xyz;0123/456784;0199/123456784
1004;Shaver;Jennica;Bereichsleitung;shaver@xycorp.xyz;0123/456785;0199/123456785
1005;Fulmer;Ermengarde;Bereichsleitung;fulmer@xycorp.xyz;0123/456786;0199/123456786
1006;Pozzy;Almeta;Bereichsleitung;pozzy@xycorp.xyz;0123/456787;0199/123456787
1007;Buckler;Gilda;Empfang;buckler@xycorp.xyz;0123/456788;0199/123456788
1008;Philoo;Trixi;Empfang;philoo@xycorp.xyz;0123/456789;0199/123456789
1009;Lia;Katharina;Empfang;lia@xycorp.xyz;0123/4567810;0199/1234567810
1010;Thunell;Kaja;Softwareentwicklung;thunell@xycorp.xyz;0123/4567811;0199/1234567811
1011;Arquit;Melina;Buchhaltung;arquit@xycorp.xyz;0123/4567812;0199/1234567812
1012;Glovsky;Jorry;Mediengestaltung;glovsky@xycorp.xyz;0123/4567813;0199/1234567813
1013;Dermott;Jean;Mediengestaltung;dermott@xycorp.xyz;0123/4567814;0199/1234567814
1014;Garbe;Sarette;Produktentwicklung;garbe@xycorp.xyz;0123/4567815;0199/1234567815
1015;Levey;Roz;Softwareentwicklung;levey@xycorp.xyz;0123/4567816;0199/1234567816
1016;Means;Marleah;Vertrieb;means@xycorp.xyz;0123/4567817;0199/1234567817
1017;Clara;Kate;Vertrieb;clara@xycorp.xyz;0123/4567818;0199/1234567818
1018;Harned;Sam;Vertrieb;harned@xycorp.xyz;0123/4567819;0199/1234567819
1019;Ivens;Cissiee;Buchhaltung;ivens@xycorp.xyz;0123/4567820;0199/1234567820
1020;Winthorpe;Carly;Vertrieb;winthorpe@xycorp.xyz;0123/4567821;0199/1234567821
1021;Rosette;Jorry;Teamleitung;rosette@xycorp.xyz;0123/4567822;0199/1234567822
1022;Pandolfi;Marinna;Produktentwicklung;pandolfi@xycorp.xyz;0123/4567823;0199/1234567823
1023;Louanna;Penelopa;Projektmanagement;louanna@xycorp.xyz;0123/4567824;0199/1234567824
1024;Jerald;Jan;Mediengestaltung;jerald@xycorp.xyz;0123/4567825;0199/1234567825
1025;Rosette;Aeriela;Projektmanagement;rosette@xycorp.xyz;0123/4567826;0199/1234567826
1026;Vacuva;Althea;Mediengestaltung;vacuva@xycorp.xyz;0123/4567827;0199/1234567827
1027;Dielu;Lauryn;Produktentwicklung;dielu@xycorp.xyz;0123/4567828;0199/1234567828
1028;Germann;Inga;Vertrieb;germann@xycorp.xyz;0123/4567829;0199/1234567829
1029;Loring;Dyann;Marketing;loring@xycorp.xyz;0123/4567830;0199/1234567830
1030;Norrie;Chickie;Marketing;norrie@xycorp.xyz;0123/4567831;0199/1234567831
1031;Sprage;Elora;Softwareentwicklung;sprage@xycorp.xyz;0123/4567832;0199/1234567832
1032;Edmund;Claresta;Buchhaltung;edmund@xycorp.xyz;0123/4567833;0199/1234567833
1033;Quinn;Lelah;Softwareentwicklung;quinn@xycorp.xyz;0123/4567834;0199/1234567834
1034;Eiser;Mariele;Buchhaltung;eiser@xycorp.xyz;0123/4567835;0199/1234567835
1035;Longfellow;Konstance;Teamleitung;longfellow@xycorp.xyz;0123/4567836;0199/1234567836
1036;Tannie;Perry;Vertrieb;tannie@xycorp.xyz;0123/4567837;0199/1234567837
1037;Newell;Bobinette;Softwareentwicklung;newell@xycorp.xyz;0123/4567838;0199/1234567838
1038;Wooster;Dorene;Marketing;wooster@xycorp.xyz;0123/4567839;0199/1234567839
1039;Saunderson;Odessa;Softwareentwicklung;saunderson@xycorp.xyz;0123/4567840;0199/1234567840
1040;Nikaniki;Gratia;Softwareentwicklung;nikaniki@xycorp.xyz;0123/4567841;0199/1234567841
1041;Kat;Nariko;Softwareentwicklung;kat@xycorp.xyz;0123/4567842;0199/1234567842
1042;Rustice;Fredericka;Vertrieb;rustice@xycorp.xyz;0123/4567843;0199/1234567843
1043;Richers;Sharlene;Buchhaltung;richers@xycorp.xyz;0123/4567844;0199/1234567844
1044;Cookie;Leanna;Mediengestaltung;cookie@xycorp.xyz;0123/4567845;0199/1234567845
1045;Heidt;Janey;Projektmanagement;heidt@xycorp.xyz;0123/4567846;0199/1234567846
1046;Lalitta;Madeleine;Mediengestaltung;lalitta@xycorp.xyz;0123/4567847;0199/1234567847
1047;Gaynor;Annora;Teamleitung;gaynor@xycorp.xyz;0123/4567848;0199/1234567848
1048;Vale;Aili;Buchhaltung;vale@xycorp.xyz;0123/4567849;0199/1234567849
1049;Hashim;Ketti;Marketing;hashim@xycorp.xyz;0123/4567850;0199/1234567850
1050;Hepsibah;Kalina;Marketing;hepsibah@xycorp.xyz;0123/4567851;0199/1234567851
1051;Stuart;Layla;Teamleitung;stuart@xycorp.xyz;0123/4567852;0199/1234567852
1052;Tommy;Alexine;Marketing;tommy@xycorp.xyz;0123/4567853;0199/1234567853
1053;Gemini;Anallese;Marketing;gemini@xycorp.xyz;0123/4567854;0199/1234567854
1054;Harriman;Charissa;Buchhaltung;harriman@xycorp.xyz;0123/4567855;0199/1234567855
1055;Fairweather;Britte;Marketing;fairweather@xycorp.xyz;0123/4567856;0199/1234567856
1056;Fitzsimmons;Ayn;Softwareentwicklung;fitzsimmons@xycorp.xyz;0123/4567857;0199/1234567857
1057;Fairweather;Arlina;Produktentwicklung;fairweather@xycorp.xyz;0123/4567858;0199/1234567858
1058;Valoniah;Elora;Vertrieb;valoniah@xycorp.xyz;0123/4567859;0199/1234567859
1059;Gladstone;Marylou;Marketing;gladstone@xycorp.xyz;0123/4567860;0199/1234567860
1060;Henrie;Charlena;Buchhaltung;henrie@xycorp.xyz;0123/4567861;0199/1234567861
1061;Genna;Micheline;Vertrieb;genna@xycorp.xyz;0123/4567862;0199/1234567862
